x,y,z
393,105,b
393,104,b
392,96,b
390,89,b
388,86,b
387,82,b
387,81,b
386,79,b
386,77,b
385,73,b
384,70,b
383,67,b
383,63,b
383,61,b
383,60,b
383,57,b
383,54,b
383,51,b
383,49,b
383,46,b
383,44,b
383,43,b
383,41,b
383,40,b
384,38,b
387,34,b
390,33,b
392,32,b
393,32,b
395,32,b
399,31,b
404,31,b
407,31,b
412,31,b
414,31,b
415,31,b
417,32,b
418,33,b
419,35,b
421,38,b
422,41,b
423,44,b
423,49,b
423,55,b
423,60,b
423,63,b
423,64,b
423,65,b
422,66,b
421,66,b
420,68,b
418,70,b
413,70,b
410,70,b
405,69,b
401,67,b
395,65,b
392,64,b
390,64,b
389,63,b
388,62,b
387,62,b
289,147,b
291,147,b
292,147,b
293,147,b
296,147,b
302,145,b
332,140,b
366,135,b
395,135,b
401,135,b
